league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,16.1,6,0,0,19,13,2,16,13,30,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27,1996,32.4,5,0,0,33,51,14,19,8,13,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,MF,18,2006,0.5,0,0,0,3,1,0,0,0,2,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29,1995,9.9,1,0,0,7,2,1,2,20,7,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36.0,5,0,0,0,2,0,0,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001,1.1,0,0,0,2,3,0,1,0,4,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,7.6,0,0,0,7,12,1,29,2,8,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,2004,29.6,8,1,1,39,47,0,9,49,44,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,1990,23.5,5,0,0,11,23,4,3,5,16,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,2003,5.7,0,0,0,8,3,1,11,7,13,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22,2001,0.2,0,0,0,0,0,0,1,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19,2004,2.7,0,0,0,3,1,0,0,0,3,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,1999,4.3,1,0,0,4,3,1,9,7,5,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,18.4,2,0,0,34,45,7,9,11,14,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brighton,Harry Howell,ENG,MF,16,2008,0.1,0,0,0,0,0,0,0,0,1,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
